Order_ID,Order_Date,Ship_Date,Customer_ID,Region,Category,Sub_Category,Product_ID,Product_Name,Sales,Quantity,Discount,Profit,Inventory_Stock,Inventory_Turnover_Days,Season
ORD-1000,28-09-2022,01-10-2022,CUST-314,Central,Technology,Phones,PROD-6578,Phones 187,2458.85,8,0.2,245.88,131,92,Fall
ORD-1001,24-10-2023,29-10-2023,CUST-291,South,Furniture,Bookcases,PROD-7420,Bookcases 260,733.12,2,0.1,146.62,47,11,Fall
ORD-1002,10-09-2022,14-09-2022,CUST-799,South,Office Supplies,Paper,PROD-1189,Paper 786,1438.11,9,0.2,143.81,179,101,Fall
ORD-1003,21-07-2023,25-07-2023,CUST-940,Central,Office Supplies,Art,PROD-6393,Art 487,380.67,9,0.2,38.07,144,30,Summer
ORD-1004,30-08-2022,01-09-2022,CUST-466,South,Furniture,Tables,PROD-1775,Tables 134,248.97,9,0.1,49.79,93,101,Summer
ORD-1005,16-07-2023,20-07-2023,CUST-921,East,Office Supplies,Binders,PROD-7873,Binders 655,448.15,2,0.1,89.63,115,13,Summer
ORD-1006,27-09-2022,03-10-2022,CUST-819,East,Office Supplies,Paper,PROD-9529,Paper 978,1890,7,0.1,378,49,94,Fall
ORD-1007,05-08-2022,09-08-2022,CUST-938,East,Furniture,Tables,PROD-6463,Tables 228,1459.9,9,0,437.97,74,98,Summer
ORD-1008,14-05-2023,15-05-2023,CUST-589,Central,Technology,Copiers,PROD-7184,Copiers 127,2959.39,8,0,887.82,132,14,Spring
ORD-1009,02-02-2022,08-02-2022,CUST-646,East,Technology,Phones,PROD-9110,Phones 561,2717.14,8,0.3,0,113,95,Winter
ORD-1010,05-01-2022,07-01-2022,CUST-306,Central,Technology,Phones,PROD-6977,Phones 653,2730.45,7,0.2,273.04,36,18,Winter
ORD-1011,29-07-2023,30-07-2023,CUST-848,Central,Furniture,Bookcases,PROD-4242,Bookcases 640,1161.49,4,0.3,0,160,112,Summer
ORD-1012,30-11-2023,03-12-2023,CUST-745,South,Furniture,Bookcases,PROD-4627,Bookcases 439,2655.75,6,0.1,531.15,54,71,Fall
ORD-1013,27-11-2022,29-11-2022,CUST-484,East,Office Supplies,Paper,PROD-2306,Paper 732,3150.87,7,0.2,315.09,199,106,Fall
ORD-1014,16-09-2022,22-09-2022,CUST-918,West,Furniture,Chairs,PROD-1663,Chairs 926,2210.9,8,0.1,442.18,174,106,Fall
ORD-1015,23-11-2023,24-11-2023,CUST-486,East,Office Supplies,Binders,PROD-2636,Binders 724,141.88,1,0.3,0,48,11,Fall
ORD-1016,23-04-2022,25-04-2022,CUST-737,West,Furniture,Bookcases,PROD-6172,Bookcases 783,434.6,2,0.2,43.46,138,28,Spring
ORD-1017,20-02-2023,24-02-2023,CUST-379,East,Office Supplies,Paper,PROD-3931,Paper 709,2699.04,7,0.2,269.9,154,47,Winter
ORD-1018,26-05-2023,27-05-2023,CUST-759,South,Office Supplies,Paper,PROD-8098,Paper 502,1565.77,9,0.1,313.15,102,12,Spring
ORD-1019,26-05-2023,29-05-2023,CUST-739,Central,Office Supplies,Art,PROD-3385,Art 971,1318.73,4,0.3,0,170,49,Spring
ORD-1020,18-04-2023,20-04-2023,CUST-863,South,Furniture,Bookcases,PROD-9815,Bookcases 671,1959.27,7,0.1,391.85,108,16,Spring
ORD-1021,31-10-2022,06-11-2022,CUST-198,Central,Furniture,Tables,PROD-3255,Tables 230,2261,5,0.2,226.1,18,114,Fall
ORD-1022,20-09-2023,23-09-2023,CUST-353,Central,Office Supplies,Binders,PROD-3557,Binders 572,97.58,1,0.1,19.52,113,93,Fall
ORD-1023,04-12-2022,06-12-2022,CUST-260,South,Technology,Phones,PROD-7944,Phones 497,1411.46,6,0,423.44,178,109,Winter
ORD-1024,14-07-2022,15-07-2022,CUST-474,West,Furniture,Bookcases,PROD-7893,Bookcases 769,280.42,1,0.2,28.04,124,95,Summer
ORD-1025,31-12-2022,03-01-2023,CUST-708,South,Office Supplies,Paper,PROD-8022,Paper 580,2729.56,6,0.2,272.96,30,39,Winter
ORD-1026,21-10-2023,25-10-2023,CUST-319,West,Furniture,Chairs,PROD-2069,Chairs 472,1166.72,3,0.3,0,26,53,Fall
ORD-1027,06-02-2022,11-02-2022,CUST-215,Central,Office Supplies,Art,PROD-1980,Art 260,285.33,1,0.2,28.53,108,69,Winter
ORD-1028,20-07-2023,22-07-2023,CUST-953,Central,Technology,Accessories,PROD-4009,Accessories 738,880.89,3,0.3,0,123,41,Summer
ORD-1029,21-01-2023,23-01-2023,CUST-138,East,Technology,Accessories,PROD-6801,Accessories 858,427.36,1,0,128.21,52,57,Winter
ORD-1030,12-02-2023,17-02-2023,CUST-875,South,Office Supplies,Art,PROD-9173,Art 499,1825.09,7,0,547.53,29,74,Winter
ORD-1031,16-04-2023,20-04-2023,CUST-764,West,Office Supplies,Art,PROD-1574,Art 289,130.22,2,0.2,13.02,95,60,Spring
ORD-1032,10-11-2022,12-11-2022,CUST-153,Central,Furniture,Tables,PROD-3491,Tables 712,840.72,6,0.1,168.14,79,24,Fall
ORD-1033,26-07-2023,30-07-2023,CUST-983,West,Furniture,Chairs,PROD-5142,Chairs 966,1197.44,5,0.1,239.49,118,105,Summer
ORD-1034,05-01-2023,09-01-2023,CUST-157,Central,Technology,Phones,PROD-9932,Phones 573,1205.07,3,0.2,120.51,28,101,Winter
ORD-1035,07-05-2022,08-05-2022,CUST-195,West,Furniture,Tables,PROD-6237,Tables 659,239.66,5,0.1,47.93,10,43,Spring
ORD-1036,29-09-2022,04-10-2022,CUST-346,Central,Furniture,Chairs,PROD-4147,Chairs 253,2347.89,7,0,704.37,31,102,Fall
ORD-1037,27-03-2022,28-03-2022,CUST-303,South,Technology,Phones,PROD-7617,Phones 531,325.98,5,0.1,65.2,199,78,Spring
ORD-1038,04-09-2023,05-09-2023,CUST-901,South,Furniture,Bookcases,PROD-8390,Bookcases 861,1056.41,5,0.1,211.28,78,109,Fall
ORD-1039,31-08-2023,01-09-2023,CUST-435,Central,Technology,Accessories,PROD-7303,Accessories 574,2689.38,8,0.3,0,25,33,Summer
