Order_ID,Order_Date,Ship_Date,Customer_ID,Region,Category,Sub_Category,Product_ID,Product_Name,Sales,Quantity,Discount,Profit,Inventory_Stock,Inventory_Turnover_Days,Season
ORD-1000,2022-09-28,2022-10-01,CUST-314,Central,Technology,Phones,PROD-6578,Phones 187,2458.85,8,0.2,245.88,131,92,Fall
ORD-1001,2023-10-24,2023-10-29,CUST-291,South,Furniture,Bookcases,PROD-7420,Bookcases 260,733.12,2,0.1,146.62,47,11,Fall
ORD-1002,2022-09-10,2022-09-14,CUST-799,South,Office Supplies,Paper,PROD-1189,Paper 786,1438.11,9,0.2,143.81,179,101,Fall
ORD-1003,2023-07-21,2023-07-25,CUST-940,Central,Office Supplies,Art,PROD-6393,Art 487,380.67,9,0.2,38.07,144,30,Summer
ORD-1004,2022-08-30,2022-09-01,CUST-466,South,Furniture,Tables,PROD-1775,Tables 134,248.97,9,0.1,49.79,93,101,Summer
ORD-1005,2023-07-16,2023-07-20,CUST-921,East,Office Supplies,Binders,PROD-7873,Binders 655,448.15,2,0.1,89.63,115,13,Summer
ORD-1006,2022-09-27,2022-10-03,CUST-819,East,Office Supplies,Paper,PROD-9529,Paper 978,1890.0,7,0.1,378.0,49,94,Fall
ORD-1007,2022-08-05,2022-08-09,CUST-938,East,Furniture,Tables,PROD-6463,Tables 228,1459.9,9,0.0,437.97,74,98,Summer
ORD-1008,2023-05-14,2023-05-15,CUST-589,Central,Technology,Copiers,PROD-7184,Copiers 127,2959.39,8,0.0,887.82,132,14,Spring
ORD-1009,2022-02-02,2022-02-08,CUST-646,East,Technology,Phones,PROD-9110,Phones 561,2717.14,8,0.3,0.0,113,95,Winter
ORD-1010,2022-01-05,2022-01-07,CUST-306,Central,Technology,Phones,PROD-6977,Phones 653,2730.45,7,0.2,273.04,36,18,Winter
ORD-1011,2023-07-29,2023-07-30,CUST-848,Central,Furniture,Bookcases,PROD-4242,Bookcases 640,1161.49,4,0.3,0.0,160,112,Summer
ORD-1012,2023-11-30,2023-12-03,CUST-745,South,Furniture,Bookcases,PROD-4627,Bookcases 439,2655.75,6,0.1,531.15,54,71,Fall
ORD-1013,2022-11-27,2022-11-29,CUST-484,East,Office Supplies,Paper,PROD-2306,Paper 732,3150.87,7,0.2,315.09,199,106,Fall
ORD-1014,2022-09-16,2022-09-22,CUST-918,West,Furniture,Chairs,PROD-1663,Chairs 926,2210.9,8,0.1,442.18,174,106,Fall
ORD-1015,2023-11-23,2023-11-24,CUST-486,East,Office Supplies,Binders,PROD-2636,Binders 724,141.88,1,0.3,0.0,48,11,Fall
ORD-1016,2022-04-23,2022-04-25,CUST-737,West,Furniture,Bookcases,PROD-6172,Bookcases 783,434.6,2,0.2,43.46,138,28,Spring
